TI3;"GeySeal""""";"Acod""""";"Jcod""""";"Ahadd""""";"Awhit""""";"Poll""""";"FlatFish""""";"Ldem""""";"Herr""""";"NorPout""""";"PoorCod""""";"Sande""""";"HarSeal""""";"Mack""""";"HorMack""""";"Cepha""""";"Cet""""";"OSFish""""";"Opela""""";"Lzoopl""""";"Szoopl""""";"Bird""""";"Sha""""";"Sprat""""";"Crus""""";"EpiFau""""";"Neph""""";"InFau""""";"Jwhit""""";"Gurna""""";"MonkFish""""";"Phyto""""";"Jhadd""""";"Ray""""";"BlueWhit""""";;SUM;
"Jcod""""";4586,42;162551,65;825499,73;4176213,32;245060,35;410562,74;4612776,71;2779697,33;46371403,56;1819583;2419534,07;2158330,5;8019,05;12237838,51;7279352,83;12072251,17;126646;3090643,32;6718736,32;3718379485;13104103251;511157,3;864649,54;8154678,77;41932504,22;6207814757;4814592,98;7453441086;4369896,01;239108,4;29688,06;6584360733;7474180,07;1567770,24;12830790,04;;37258407614;
"Ahadd""""";10873,47;887315,73;3930553,72;11100141,25;209101,23;127807,52;17479381,55;4225635,85;40375498,94;897447,85;8435046,78;572105,79;7568,08;17401620,39;17831155,41;33719651,38;418005,97;2158511,88;21415448,77;20395549595;71401368119;466198,66;853150,97;1916353,69;201552848,6;35177922491;11550892,59;40046193876;21429031,65;674521,41;42632,3;30142236930;37330009,4;6855206,55;3426572,39;;1,97631E+11;
"Awhit""""";1145,63;31186,23;245060,35;222170,05;30548,66;325163,39;681068,11;47673,14;38455398,61;1441007,47;383526,34;1973056,17;1857,46;8647674,9;3870604,12;5805804,4;58065,15;2243466,14;1146268,56;632263228,8;2233285321;62908,16;117808,98;7469890;7109068,44;1091695841;1592495,57;1220021663;1128800,35;104676,6;3760,97;1436928538;1771739,55;202348,75;11724908,62;;6711093743;
"Poll""""";12553,9;72802,64;434713,48;143783,46;344290,65;384442,81;443175,74;140693,91;26891202,64;907625,18;222478,64;1268062,22;20969,16;6947855,94;4076299,1;6481567,36;72824,38;1412256,52;1276138,47;2547899791;8765576233;710066,81;892643,4;4916185,46;22173290,15;4082710078;1501103,92;4870198934;2625444,2;84846,96;50572,36;2054997559;4760368,67;350944,79;7647335,71;;22418649133;
"FlatFish""""";27226,25;1452419,8;6512155,35;26219072,32;961507,91;590900,99;32458967,2;14496406,91;100069996,8;3113432,49;16528991,39;2282925,37;31832,69;29752034,96;26754553,32;49304594,95;610073,27;6507047,92;42589245,16;38706502513;1,36759E+11;2051410,64;3546272,46;8449445,11;380311181,4;65320184882;22302415,81;77106352561;38532090,55;1279047,3;144101,15;45060079182;69624018,84;12288426,45;13765828,82;;3,63865E+11;
"Ldem""""";7493,84;534811,68;2452674,11;3961533,61;42064,53;117244,93;9060254,32;150590,29;26784886,88;468029,32;4111425,11;546772,74;5425,84;12768198,41;12679700,39;23811122,79;299290,85;1041372,99;10496584,74;11569270023;40113985619;104118,41;124605,69;1894297,59;112708002,1;20229570503;6222727,33;22347434707;12692141,87;373024,84;18319,09;19355673614;21540015,33;3726865,09;3414234,03;;1,13888E+11;
"Herr""""";1615102,59;10622763,6;54554592,43;50469373,67;45241645,42;29879114,04;83391663,97;35713182,5;1079082041;26757450,36;36163229,16;37547038,56;2693591,6;435227388,3;378232510,6;654037419,9;7780779,42;45415824,57;181009120,5;3,38846E+11;1,15943E+12;93467520,82;116217736,7;155716084,4;3000944120;5,46258E+11;149738140,4;6,47119E+11;330353842,7;6573051,53;6652727,68;3,18474E+11;600853563,2;59032982,49;237555681,6;;3,01808E+12;
"NorPout""""";66687,83;438992,36;2247720,17;1177900,31;1780068,05;1058896,04;2724253,43;655241,05;28095322,88;354136,88;1101561,25;599092,39;109837,92;13117516,62;13057344,61;22945286,76;286197,14;645688,67;6131194,05;15001607701;51507123775;3678722,3;4498895,23;2816886,27;128743697,2;24255585766;4715394,91;28703116378;14121596,36;220643,94;267699,66;11913011130;26085125,06;2284185,94;4191710,39;;1,31669E+11;
"PoorCod""""";19544,43;817815,84;3558138,33;13179760,59;564009,32;308998,11;17217699,36;6852375,18;45204036,45;1311382,44;8630047,91;856337,1;23556,48;15961558,22;15415720,38;28707581,06;358507,77;2891680,53;22381828,69;20190615822;71041340691;1202255,32;1938660,19;3127122,56;199645900,7;34243608387;11818110,07;40012368536;20447858,38;673557,11;88897,44;25833184271;36483672,21;6668839,54;5260806,26;;1,91793E+11;
"Sande""""";110624,92;622205,1;3300976,06;929671,91;3017615,31;1831645,43;2473169,15;947739,41;48811150,13;741733,44;890590,58;1247107,38;184180,48;20816174,81;19857231,52;34346033,69;428908,31;1229325,7;7910039,68;23084054378;79196206692;6231989,69;7616888,74;5693369,84;194631622,6;36978425779;6721641,85;44121081958;21364196,2;301816,97;448391,55;15820489607;39899211,9;2994684,49;8550527,35;;1,99644E+11;
