"TI3";""Lgroup"";""Lshark"";""Lfishc"";""Crus"";""Scom"";""Ceph"";""Seabird"";""Sschool"";""Lschool"";""Plongi"";""Pescul"";""Sfisho"";""Mende"";""Bmoll"";""Fishh"";""Zoopl"";""Prown"";""Echino"";""Sess"";""Phyto"";""Benthau"";""Decomp"";""Turtle"";;SUM
""Scom"";"1373198,50";"4686638,59";"706942377,46";"3522159761,20";"44331181,65";"56421483,91";"5640350,07";"1954797641,28";"291374827,12";"10284703,33";"22471007,46";"2241781647,32";"45999175,14";"7161201821,98";"164018366514,49";"9776829722,53";"30339823,25";"13467822376,24";"53642569648,42";"16889732737,76";"890653675,08";"4821361151,94";"17463061,89";;"279624604526,62"
""Ceph"";"364953,49";"2329935,07";"39347097,12";"424618127,85";"44331165,93";"11445070,14";"2668811,11";"196286304,59";"27499630,25";"14555724,60";"16332996,49";"112422434,89";"33530620,05";"1013308306,56";"2725320600,17";"25058808015,75";"11243039,49";"430468726,18";"3692516782,33";"2001066863,72";"1292771177,32";"760236493,92";"377274,20";;"37911850151,23"
""Seabird"";"14542,30";"152902,27";"5794919,27";"25600971,45";"4834585,78";"2911430,30";"272749,95";"96208399,48";"12267976,39";"699390,44";"1055297,59";"8496680,81";"2741376,42";"43780118,06";"76530951,84";"1223879074,73";"958126,76";"14449819,95";"205007694,05";"935881817,44";"130608538,18";"270360896,35";"11589,71";;"3062519849,49"
""Sschool"";"5138394,01";"69975106,26";"925501427,14";"17078463781,91";"1954797641,28";"249818933,11";"112243132,72";"1358181973,05";"250691510,96";"507576080,56";"502879212,34";"3330894115,82";"1134540734,15";"39833305130,56";"4230821913,77";"1233410871340,28";"388477175,51";"8110420869,45";"130844107936,02";"17097392254,73";"48222076922,01";"11905104222,78";"3446313,94";;"1521526726122,38"
""Lschool"";"546744,50";"6731462,22";"110511538,99";"1564538548,80";"208124876,52";"24999663,87";"10223313,66";"179065364,97";"29843805,44";"48231310,65";"50436452,90";"313550926,91";"106979780,39";"3651691983,93";"826956102,05";"111440416057,45";"36494427,03";"790630144,00";"12021990451,68";"2157149570,38";"6036443176,34";"1311766274,06";"386657,65";;"140927708634,40"
""Plongi"";"97437,24";"788183,97";"33514546,81";"140153685,07";"6611595,00";"11909229,22";"524542,83";"326298908,93";"43408179,58";"4140939,86";"7296456,71";"75188106,26";"11091411,67";"275042888,75";"3886513347,65";"2009558965,23";"4926695,99";"359682904,72";"1674331258,27";"3215156770,61";"404042133,94";"983103173,83";"443808,39";;"13473825170,54"
""Pescul"";"244970,40";"1374240,59";"64062981,44";"325584838,92";"14445647,65";"13363360,76";"791473,19";"323279493,65";"45392807,61";"7296456,71";"8747586,24";"173221581,45";"18620936,14";"733331859,51";"10653511464,97";"5437516096,41";"8134117,74";"964136114,52";"4260292765,98";"3087870954,75";"570929100,64";"953635503,60";"1167244,20";;"27666951597,07"
""Sfisho"";"2283886,42";"27340405,79";"2229438560,20";"2285710401,16";"2882290689,41";"183963984,37";"12745021,21";"4282578148,91";"564391668,44";"150376212,53";"346443162,90";"1020826883,60";"269247106,12";"4322170521,77";"25580733338,87";"70712585054,76";"99356093,68";"3386804330,51";"17998045420,22";"47428443739,25";"142391240140,88";"18268432461,51";"4773634,15";;"344450220866,64"
""Mende"";"114977,95";"1717703,87";"56218604,16";"310333864,77";"26285242,94";"24385905,49";"1827584,28";"648308990,94";"85583824,31";"9859032,59";"16551943,24";"119665380,50";"25558870,03";"599013524,10";"3871574772,96";"12268601797,44";"10768378,47";"426324154,33";"2904742906,08";"6460008093,31";"1078676985,37";"2013835938,92";"487839,34";;"30960446315,39"
""Bmoll"";"5690641,86";"101366959,10";"8469903127,89";"7644798895,34";"9207259485,41";"1658140865,29";"65670177,10";"51214249453,57";"6573045571,08";"550085777,51";"1466663719,02";"4322170521,77";"1347780429,24";"7375218390,09";"59123234777,16";"45947804084,20";"524343193,81";"8393888522,66";"52055893962,53";"523018015578,19";"469210224594,21";"166021569482,11";"14152308,72";;"1424311170517,85"
""Fishh"";"44307300,54";"845255444,90";"82429016150,28";"21506084881,04";"117155976081,78";"2477564181,97";"63775793,20";"3022015652,70";"826956102,05";"4318348164,06";"11837234961,08";"14211518521,59";"4839468466,20";"32846241542,86";"1967845949,19";"183137607681,38";"1984311038,28";"29108004151,91";"13730369438,68";"257068603160,56";"5898445940460,19";"254644561738,22";"74085591,12";;"6936585092453,79"
