TI3;"Phyto""""";"MicroMesoZoopl""""";"MacroZoopl""""";"Jelly""""";"Sard""""";"OSPelaFish""""";"SupBenth""""";"BenthInv""""";"Mull""""";"DemFishOne""""";"BenthPelaFish""""";"Anch""""";"HorMack""""";"Mack""""";"Shri""""";"Crab""""";"NorLobs""""";"Ahake""""";"BlueWhit""""";"DemSha""""";"FinWhale""""";"FlatFish""""";"PoorCod""""";"Jhake""""";"DemFishThree""""";"Polych""""";"BenthCepha""""";"BenthPelaCepha""""";"AngFish""""";"AtlBoni""""";"SwordFishTuna""""";"CongEel""""";"DemFishTwo""""";"LogTurtle""""";"Dolph""""";"AudGull""""";;SUM;
WI3;"Phyto""""";"MicroMesoZoopl""""";"MacroZoopl""""";"Jelly""""";"Sard""""";"OSPelaFish""""";"SupBenth""""";"BenthInv""""";"Mull""""";"DemFishOne""""";"BenthPelaFish""""";"Anch""""";"HorMack""""";"Mack""""";"Shri""""";"Crab""""";"NorLobs""""";"Ahake""""";"BlueWhit""""";"DemSha""""";"FinWhale""""";"FlatFish""""";"PoorCod""""";"Jhake""""";"DemFishThree""""";"Polych""""";"BenthCepha""""";"BenthPelaCepha""""";"AngFish""""";"AtlBoni""""";"SwordFishTuna""""";"CongEel""""";"DemFishTwo""""";"LogTurtle""""";"Dolph""""";"AudGull""""";;SUM;
"Phyto""""";24975228526;2,63753E+12;28149282339;87233928158;37779312977;5746099794;15151394,12;95261359,93;17605120,93;109486207,8;466010299,7;772072119,9;249257766,6;449163642,7;6653214,36;12323639,8;5888583,7;546526924,5;386004311,4;3856668,94;461460242,9;632614,2;110809,06;1862291,02;840657131,4;36177459,84;4695122,88;1378266763;22676;2087249575;26094083,61;14377135,06;5231583,55;884944,48;4693475;56387811,7;;2,82947E+12;
"MicroMesoZoopl""""";6,85758E+12;24992326202;1,33195E+11;6,67162E+11;5,40832E+11;1,10361E+11;5239025680;1002867253;6373060273;496056159,7;8467340457;4,16223E+11;51802481109;11637012320;2898768,71;5731512,07;3253790,54;98846991,97;217025735,5;541506,32;242355746,8;112211,63;87600,26;383580,07;114093670,3;11267857,13;2405181,43;202603255,9;75219,94;340364421,1;1344870,51;299514,62;1303593,92;220332,85;233805;10245024,31;;8,83662E+12;
"MacroZoopl""""";73188134082;1,33195E+11;2815305492;11393168646;7575792957;1446999921;55710529,41;15276313,29;68268832,45;11322129,82;114098048;4404184121;556420743;145610418,1;422042,64;815066,32;355931,61;28656084,09;24465811,98;207769,63;27445461,94;55982,45;31399,97;116571,13;43686811,08;1810886,69;438442,6;72094296,69;1529,46;109066790,5;1330012,27;723387,94;491049,78;82683,49;238150,43;2957842,78;;2,35301E+11;
"Jelly""""";52340356895;1,5396E+11;2629192765;10035945108;6215130438;1153794344;39755126,88;12944657,92;48331129,35;10098077,66;90092173,42;3133269725;398923151,8;112585705,8;411096,74;764830,93;368847,78;32652239,29;24235476,94;228756,96;28792366,52;38176,49;7089,34;107626,27;49944531,67;2048736,79;285179,57;82016722,45;1023,34;124445385,2;1531516,48;835498,21;322774,32;54597,44;274369,03;3370306,47;;2,30534E+11;
"Sard""""";75558625954;4,16024E+11;5827533044;20717101461;11602284725;2058114288;57100237,63;25457663,1;69441866,2;22608726,97;162099956,2;4468287512;580398760,8;192559454,9;1094172,31;2036335,57;967547,95;87563713,93;63548344,15;616790,77;75488315,12;112825,47;22639,62;302764,23;134232524,6;5581439,32;885027,86;220350127,6;2939,38;334032640,5;4134543,2;2261727,28;1001961,77;169448,32;741605,57;9037198,84;;5,3831E+11;
"OSPelaFish""""";11492199589;84893018700;1113076862;3845981146;2058114288;356820055,7;8655468,68;4622697,09;10499212,69;4301004,67;28238213,34;673490682,9;88762951,69;32635461,46;219774,96;407519,24;195189,14;17817464,4;12798809,72;124933,94;15284111,35;20526,27;3512,67;58767,73;27328962,44;1193985,07;152229,42;44837575,4;775,47;68034341,11;843521,68;461784,62;170763,46;28878,96;151556,18;1838683,14;;1,04802E+11;
"SupBenth""""";39393624,71;5239025680;55710529,41;172272216,5;74230308,92;11252109,28;23821,99;192831,69;111990,79;287383,18;924528,15;910558,38;434139,91;883362,97;18723,99;36526,37;12243,56;1086652,1;920948,43;8148,28;921238,65;4069,12;3519,78;6161,41;1672765,13;74266,35;26048,02;2778614,48;123,16;4149624,91;51873,64;28776,19;28852,33;4877,19;9314,74;112111,14;;5607608565;
"BenthInv""""";304836351,8;1234298157;18801616,36;69038175,57;40732260,96;7396315,34;237331,31;161359,76;553462,69;811992,32;773467,52;18121762,24;3426158,95;872923,6;152318,56;307962,11;36290,01;311699,23;1123557,06;44571,76;387597,22;176487,22;13781,68;216794,83;612514,25;90934,27;2323031,33;1291921,69;764,1;1152994,41;14729,65;8365,5;2649214,78;447788,27;3000,21;31896,15;;1711459550;
"Mull""""";24647169,3;3431647839;36760140,55;112772635,2;48609306,34;7349448,88;60302,73;242139,93;30429,59;153467,88;604546,43;551550,69;277098,58;574354,72;21920,26;39459,07;8130,23;735333,01;525577,93;6206,73;609415,45;3717,4;1536;5466,68;1110978,65;704076,91;38454,07;1814493,75;2267,06;2729136,3;35293,88;26112,67;28530,71;4758,61;7692,26;73519,28;;3672812507;
"DemFishOne""""";437944831,1;763163322,6;17418661,26;67320517,72;45217453,94;8602009,34;442127,97;1014990,4;438479,66;81532,59;675335,05;26487906,51;3355193,65;856321,34;30629,15;55146,66;8269,83;226520,4;145197,22;8252,57;162183,49;8627,61;11344,76;15531,08;293788,1;1978660,13;92051,55;453044,63;7574,8;608502,26;12399,94;26861,97;54013,49;8643,66;6715,69;15858,06;;1377248500;
