TI3;"Seal""""";"Bird""""";"HalTurBrill""""";"Whit""""";"Odem""""";"Sha""""";"Cod""""";"CrabLobs""""";"Hadd""""";"InshFish""""";"Sal""""";"Mack""""";"Trach""""";"Plai""""";"Sole""""";"NorPout""""";"Cepha""""";"Sande""""";"Sprat""""";"Herr""""";"Cet""""";"Opela""""";"Lzoopl""""";"Szoopl""""";"Gurna""""";"Echino""""";"OBenthInv""""";"PrawnShri""""";"Polych""""";"EpiFau""""";"RaySkate""""";"Saithe""""";"Neph""""";"Eupha""""";"InFau""""";"Phyto""""";;SUM;
WI3;"Seal""""";"Bird""""";"HalTurBrill""""";"Whit""""";"Odem""""";"Sha""""";"Cod""""";"CrabLobs""""";"Hadd""""";"InshFish""""";"Sal""""";"Mack""""";"Trach""""";"Plai""""";"Sole""""";"NorPout""""";"Cepha""""";"Sande""""";"Sprat""""";"Herr""""";"Cet""""";"Opela""""";"Lzoopl""""";"Szoopl""""";"Gurna""""";"Echino""""";"OBenthInv""""";"PrawnShri""""";"Polych""""";"EpiFau""""";"RaySkate""""";"Saithe""""";"Neph""""";"Eupha""""";"InFau""""";"Phyto""""";;SUM;
"Seal""""";136706,89;18261,89;24701,08;521008,49;600904,96;115077,17;516597,67;433797,06;187228,39;344960,81;37237,54;541997,44;1095486,06;487723,75;182187,71;743136,51;800872,27;2129493,36;3975365,67;7290712,36;63601,86;602793,01;6085354,39;24914761,12;101328,27;1741227,92;1439858,95;4215856,12;1202735,06;13924725,47;186134,82;94802,75;5140847,49;2961698,05;7574813,52;218624703,4;;309058699,3;
"Bird""""";15378,43;2373,78;11344,9;48705,94;175970,45;17377,86;120159,48;278212,02;70658,12;271585,93;6353,04;123976,13;253999,63;269142,88;50170,7;198880,87;218116,72;573155,12;1090931,41;2051434,14;13448,69;268680,55;140730674,5;508946413,9;26707,06;4607550,13;6613833,32;19912989,83;52792922,19;342152567,3;45861,97;14256,92;1570323,36;37892167,97;16390734,78;117894988,7;;1255722049;
"HalTurBrill""""";22100,97;12053,96;18454,22;120916,6;277618,76;29295,02;169527,74;1104875,31;107962,98;1199467,87;4123,02;152800,23;517973,21;524405,59;67619,49;89703,07;338862,1;243420,39;411633,86;764307,37;27632,45;533606,22;40034784,04;132251461;20806,66;27576570,47;59345500,73;13050601,75;14007669,41;99428894,87;75040,29;14807,17;2591336,41;15661029,76;10372351,16;762070825,6;;1183240040;
"Whit""""";548429,99;60882,42;142254,83;884113,13;2770931,04;280302,53;2412335,89;5097013,21;1001716,84;4694774,66;183544,77;3896114,07;9003733,57;2702966,24;1040012;5390105,75;7114555,17;15441571,78;29569047,71;53113115,13;379555,01;4027313,57;393683366,3;1423330309;664931,52;86099337,13;213943302,7;112161117,6;139065166,8;911519304,2;823196,02;415889,14;43000781,97;139202736,5;43459036,64;4452065594;;8109188458;
"Odem""""";885544,15;307948,28;457254,42;3879303,46;6441099,29;1001572,25;5147353,87;21106014,22;2841941,4;20921234,28;197640,7;4881322,47;14180920,95;11652296,84;1966874,5;3802099,73;9093585,02;10536511,95;18331252,59;37327532,59;640460,57;12770991,97;5158554971;18238750407;710008,67;404647672,1;935783665,7;873223650,5;1900686518;12308337512;2242253,41;617940,43;68645637,42;1488210755;523244593,4;13871189775;;55963216115;
"Sha""""";139303,94;24980,67;39634,44;322347,9;822720,06;91544,93;696434,7;1955505,47;283452,46;1914574,68;57508,73;1354191,77;3515433,45;798123,77;295388,37;1604112,86;2612776,12;4533871,53;8706495,74;15837322,85;143044,23;1357222,14;278900692,2;975857823;194693,02;39541200,01;104445710;69764308,17;99103780,44;636945950,2;237781,4;132784,65;15611840,98;94073442,22;21382124,08;2151649275;;4534947396;
"Cod""""";598165,73;165219,29;219388,84;2653569,48;4044349,47;666154,93;2693913,67;6840811,64;1366772,69;6799777,56;229000,13;6908994,65;22096462,03;5422140,86;1029514,19;4705747,23;14282509,07;12585139,48;24025644,42;48331930,68;844461,84;9028310,25;4216347116;14686978338;605881,73;115022768,6;381391861,4;865406645;1525628768;9781211744;1056023,28;680329,73;86581811,39;1311049471;369756160;13994163007;;47511417904;
"CrabLobs""""";342471,36;260823,77;974889,98;3822759,9;11306793,33;1275329,65;4664189,76;30124123,33;5047497,13;32459963,1;95303,7;3295746,48;10881034,79;24895169,94;1900035,96;2249737,29;6878514,08;4982914,17;9078251,78;23275335,22;538655,31;22392456,63;7400737846;26460949794;568889,46;535439247,9;998656216,1;1157283615;2769907236;18357997859;2448397,86;295501,84;77806333,16;2069474177;1168986829;13547932073;;74749226012;
"Hadd""""";197082,52;88322,65;127015,27;1001716,84;2029958,14;246480,4;1242520,63;6729996,17;740814,56;7195741,54;57442,56;2093108,58;7095773,67;3367801,19;477570,01;1205021,94;4561488,16;3201285,58;5851966,06;12034089,06;303402,78;4294943,45;1535149482;5348654968;199072,61;157682197,9;375655877,7;310459101,5;557960446,8;3609272448;531188,06;190915,59;30015511,67;475487696,9;155351585,7;6773318298;;19394072332;
"InshFish""""";181558,32;169741,21;705569,34;2347387,33;7471869,39;832423,77;3090807,98;21639975,4;3597870,77;23037414,04;20292,79;1238994,87;4538293,96;17461419,98;1244678,96;721758,45;2860401,45;1261305,14;1829599,09;7571970,83;240287,78;15191423,01;5329705775;19102566799;323379,12;346294152,2;665634574,4;798044828,2;2001183033;13267217485;1638753,55;93774,97;44312552,28;1468546341;833219884,9;7630064266;;51606100642;
"Sal""""";21558,58;4367,71;2667,84;100949,62;77644,56;27504,17;114500,07;69889,38;31593,41;22322,07;6127,15;138436,72;407839,15;39454,11;34362,18;105884,81;268664,05;323399,72;570648,15;1158372,15;13915,6;157080,39;189897026,1;671522047;16101,48;145225,68;2762252,76;30819950,03;69708308,52;442850525;45875,84;18958,16;1477411,5;54062808,73;13829774,82;219600407,5;;1700453855;
