TI3;"Dolph""""";"PelCoasPisc""""";"Jmack""""";"SardHerr""""";"PelOcePlank""""";"DemCoasOmn""""";"BentCoasInv""""";"SurfPela""""";"StrAssCoasOmn""""";"NeaAssPisc""""";"Mull""""";"NeaPlank""""";"Ofish""""";"Squid""""";"Lobs""""";"Lcrab""""";"Octo""""";"EchinoLGastro""""";"Bivalv""""";"CarnZoopl""""";"Bird""""";"DemCoasPisc""""";"DemCoasInv""""";"Turtle""""";"SessEpiBenth""""";"CarnJelly""""";"MicroAlga""""";"MicroPhytoBenth""""";"Mana""""";"LgOcePisc""""";"CostSha""""";"RaySkate""""";"PelOcePisc""""";"Amack""""";"PelOceJelly""""";"BentCoasPisc""""";"StrAssCoasPisc""""";"LgGroup""""";"StrAssCoasInv""""";"Ashri""""";"LgOcePlank""""";"Scopep""""";"OMesoZoopl""""";"Grass""""";"BentOceInv""""";"SInFau""""";"SMobEpiFau""""";"Stoma""""";"IchthyoPl""""";"DemOceInv""""";"MeioFau""""";"BentOcePisc""""";"StrAssCoasPlank""""";"Phyto""""";"MicroHetero""""";;SUM;
"LgOcePlank""""";0,01;0,02;0,01;0,01;0,02;0;0;0,01;0,01;0;0;0,01;0,01;0,02;0;0;0;0,01;0;0,02;0;0;0;0,01;0,01;0,05;0;0;0;0;0;0;0,01;0;0,01;0;0,01;0;0,01;0;0,02;0,03;0,02;0,05;0;0;0;0;0,01;0;0;0;0,01;0,01;0,01;;0,48;
"Scopep""""";0,01;0,01;0,01;0,02;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,02;0,02;0,03;0,06;0,01;0,03;0;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,02;0,01;0,06;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,04;0,04;0,04;;0,97;
"OMesoZoopl""""";0,01;0,03;0,02;0,03;0,03;0,03;0,01;0,04;0,03;0,01;0,01;0,03;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,03;0,02;0,02;0,03;0,06;0,01;0,03;0,01;0,01;0,01;0,01;0,04;0,02;0,02;0,01;0,03;0,01;0,02;0,01;0,06;0,04;0,03;0,02;0,03;0,01;0,01;0,01;0,05;0,01;0,01;0,01;0,05;0,05;0,04;;1,29;
"Grass""""";0,01;0,01;0,01;0,02;0,02;0;0;0,04;0,02;0;0;0,01;0,02;0,01;0,01;0;0;0,02;0;0,01;0;0,01;0;0;0;0,01;0,01;0;0;0,01;0,01;0;0,01;0,01;0,01;0;0,01;0,01;0,01;0;0,05;0,01;0,01;0,02;0;0,01;0,01;0;0;0,01;0;0;0,01;0;0;;0,45;
"BentOceInv""""";0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,03;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,04;0,01;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,03;0,02;0,02;0,02;0,02;0,01;0,01;0,02;0,01;0,02;0,02;0,02;0,03;0,01;0,02;0,01;0,04;0,01;0,01;0,01;;0,84;
"SInFau""""";0,02;0,03;0,01;0,03;0,01;0,03;0,03;0,04;0,03;0,02;0,02;0,02;0,02;0,02;0,04;0,03;0,04;0,03;0,02;0,02;0,01;0,04;0,03;0,02;0,03;0,01;0,02;0,03;0,01;0,02;0,03;0,04;0,01;0,02;0,01;0,03;0,03;0,02;0,03;0,03;0,01;0,02;0,02;0,02;0,04;0,03;0,03;0,04;0,02;0,05;0,04;0,05;0,05;0,04;0,04;;1,43;
"SMobEpiFau""""";0,02;0,03;0,02;0,03;0,03;0,04;0,04;0,05;0,04;0,04;0,06;0,04;0,03;0,03;0,04;0,04;0,04;0,04;0,03;0,02;0,03;0,04;0,03;0,02;0,04;0,01;0,05;0,04;0,04;0,02;0,03;0,04;0,02;0,04;0,02;0,04;0,03;0,04;0,03;0,04;0,02;0,02;0,02;0,06;0,04;0,04;0,03;0,04;0,02;0,05;0,04;0,05;0,05;0,05;0,04;;1,93;
"Stoma""""";0,01;0,02;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,01;0,03;0,03;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,04;0,03;0,03;0,01;0,01;0,03;0,01;0,01;0,01;0,03;0,02;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,03;0,03;0,02;0,02;0,01;0,04;0,02;0,02;0,01;0,01;0,03;;0,99;
"IchthyoPl""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0;0,01;0,02;0,01;0,02;0,02;0;0,02;0;0,01;0,01;0,01;0,03;0,01;0,04;0,01;0,01;0,01;0,02;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0;0,01;0;0,01;0,04;0,03;;0,65;
"DemOceInv""""";0,01;0,02;0;0,01;0;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0;0,01;0,01;0;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,01;0,02;0,02;0;0;0;0,01;0,01;0,02;0,02;0,02;0;0,02;0,01;0,03;0,01;0,01;0,01;;0,54;
