TI3;"MarMamm""""";"SerLal""""";"Bran""""";"TriLepTwo""""";"Tham""""";"PriMac""""";"Spar""""";"Ljelly""""";"Cepha""""";"Argentin""""";"Shri""""";"SDemFish""""";"Strom""""";"SetTat""""";"ShaRay""""";"Saur""""";"LophLit""""";"PenArg""""";"Crab""""";"EngJap""""";"SPelaFish""""";"Zoopl""""";"Sphyr""""";"ScomberJap""""";"DecaMar""""";"Sard""""";"TriLepOne""""";"ChampCap""""";"MacroBenth""""";"MicroBenth""""";"ScoNiph""""";"NibAlb""""";"LarPoly""""";"TraJap""""";"AciSin""""";"LarCroOne""""";"Bird""""";"HarNeh""""";"Phyto""""";"Pleuron""""";"HetBaci""""";"Coilia""""";;SUM;
"Argentin""""";0,02;0,02;0,01;0,04;0,01;0,01;0,01;0,04;0,01;0;0,02;0,02;0,02;0,01;0;0;0;0;0,01;0,02;0,01;0,04;0;0;0;0;0;0;0,01;0;0,02;0;0;0,02;0,01;0;0,01;0;0,02;0;0;0;;0,45;0,006840985
"Bird""""";0,02;0,01;0;0,08;0;0,01;0;0,05;0,01;0,01;0,07;0,04;0,01;0,01;0;0,01;0,04;0,02;0,04;0,07;0,04;0,1;0;0,05;0,02;0;0,01;0,01;0,04;0,01;0,06;0;0,02;0,05;0,04;0;0;0;0,08;0;0,01;0;;1,05;0,015962299
"Bran""""";0,04;0,04;0;0,07;0,05;0,04;0,02;0,01;0,05;0,01;0,05;0,07;0,02;0,01;0,02;0;0,04;0,04;0,06;0,02;0,01;0,07;0;0,02;0;0;0;0,01;0,05;0,05;0;0;0,02;0,01;0;0;0;0,01;0,01;0,01;0;0;;0,94;0,014290058
"Cepha""""";0,1;0,11;0,05;0,26;0,06;0,08;0,04;0,06;0;0,01;0,17;0,25;0,01;0,05;0,05;0,05;0,06;0,05;0,15;0,12;0,01;0,26;0;0,13;0,06;0,04;0,05;0,04;0,21;0,14;0,1;0;0,11;0,06;0,02;0;0,01;0,02;0,14;0,01;0;0;;3,13;0,047582852
"ChampCap""""";0,02;0,02;0,01;0,07;0,01;0,02;0,01;0;0,04;0;0,02;0,07;0;0;0,01;0;0;0,02;0,02;0,04;0;0,07;0;0,04;0,01;0;0,02;0;0,05;0,04;0,01;0;0,05;0;0;0;0,01;0,02;0,05;0,01;0;0;;0,79;0,012009729
"Coilia""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"Crab""""";0,1;0,07;0,06;0,23;0,05;0,07;0,02;0,02;0,15;0,01;0,19;0,23;0,01;0,04;0,02;0,04;0,07;0,06;0;0,13;0,04;0,24;0;0,07;0,04;0,01;0,05;0,02;0,21;0,19;0,08;0;0,07;0,06;0,02;0;0,04;0,04;0,12;0,02;0,02;0;;2,92;0,044390392
"DecaMar""""";0,02;0,06;0;0,11;0,01;0,05;0;0,05;0,06;0;0,05;0,06;0;0,01;0,01;0,02;0,02;0,02;0,04;0,06;0;0,11;0;0,07;0;0,04;0,02;0,01;0,06;0,01;0,07;0;0,05;0,05;0,04;0;0,02;0,01;0,08;0;0;0;;1,3;0,019762846
"EngJap""""";0,05;0,07;0,02;0,21;0,01;0,04;0;0,07;0,12;0,02;0,14;0,17;0,04;0,05;0,02;0,01;0,05;0,02;0,13;0;0,07;0,24;0;0,1;0,06;0,02;0,05;0,04;0,17;0,08;0,12;0;0,06;0,08;0,06;0;0,07;0,01;0,18;0,01;0,02;0;;2,69;0,040893889
"HarNeh""""";0;0,01;0,01;0,05;0,01;0,05;0,01;0;0,02;0;0,02;0,05;0;0,02;0;0,01;0;0,01;0,04;0,01;0;0,05;0;0,02;0,01;0;0,01;0,02;0,04;0,04;0,01;0;0,01;0;0;0;0;0;0,02;0,01;0;0;;0,58;0,00881727
"HetBaci""""";0;0;0;0;0;0;0;0,01;0;0;0,02;0,02;0;0;0;0;0,01;0;0,02;0,02;0,02;0,02;0;0,01;0;0;0;0;0,02;0,02;0;0;0;0;0;0;0,01;0;0,01;0,01;0;0;;0,26;0,003952569
"LarCroOne""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
