TI3;"Tuna""""";"BlueWhit""""";"HorMack""""";"Mack""""";"Anch""""";"Sard""""";"Squid""""";"Shri""""";"MacroZoopl""""";"Lhake""""";"Shake""""";"LdemFish""""";"BenthFish""""";"SdemFish""""";"BenthCeph""""";"BenthInv""""";"SupBenthZoopl""""";"AngFish""""";"Magr""""";"DogFish""""";"Polyhae""""";"Oinv""""";"Ray""""";"MesoZoopl""""";"MicroZoopl""""";"Phyto""""";;SUM;;
"Phyto""""";16969399438;5,8378E+11;3,27423E+11;6,19575E+11;2,3279E+12;7,86099E+12;15263272297;94744129797;2,17444E+12;4347069155;2864911522;4545375961;11122888370;4,59482E+11;19239877937;27699247495;1,53835E+12;2535518708;1065746327;4431147591;1,85015E+11;39813581121;557206464,2;2,30798E+14;2,37591E+14;3,36579E+13;;518369139319970,00;;
"Polyhae""""";207024676,5;4980497314;3996977323;6921385637;3489117972;7414241866;247276395,8;4936432247;26029581482;193832364;43651235,39;165812632;477958566,5;4681730892;419386559,3;2789157179;30215870339;122282259,3;34664826,88;109826012,5;1689148768;498775918,1;38823517,34;19987369848;30752291699;4,62537E+11;;612979937352,27;;
"Ray""""";893618,55;34273019,84;23111369,95;28197104,28;9855926,99;18459079,4;2146610,59;69282904,4;96109199,21;1202054,27;445711,57;1854234,07;7271882,82;37299782,91;6112344,68;42059919,5;119326078,1;875597,95;472018,23;1251820,58;31058813,87;8616951,54;769332,44;137542152,5;87732254,39;1114412928;;1880632710,96;;
"Sard""""";787355040,7;99503915219;93015051891;1,5236E+11;2,42637E+11;6,53483E+11;1240421603;4160397814;9,26252E+11;211503115,3;140899917;286647029,5;491303484,6;84464048832;849984414;1229327710;7,07134E+11;111414669,8;47333196,81;199254437,8;8155666053;1752903091;25381234,18;1,04667E+13;1,09304E+13;2,16177E+13;;45993415245809,50;;
"SdemFish""""";1011530166;26652116129;18038925997;33308655286;48153862659;1,45892E+11;984859835,2;8304950764;1,2467E+11;611364096,7;174370822,3;463732413;962085718,2;21899293058;1318941382;3952148931;1,17995E+11;376025576,6;108270233,6;336640889,1;8895288695;2181059987;88586984,4;3,5943E+12;3,70558E+12;2,18254E+12;;10048803862353,00;;
"Shake""""";3210149,84;126990732,8;85423676,51;136263295,3;70877868,13;153709000,3;4118032,92;47771257,39;550744384,8;2557195,39;822654,55;2112704,33;5757132,28;110128940,4;7176335,26;23683340,01;483908734,9;1625410,19;572241,14;1527459,79;52381482,47;13204032,56;668567,36;1023584178;1093674166;8594734566;;12597227538,29;;
"Shri""""";180132398,9;8696028939;5265370075;7950876753;3331246536;6807923696;295835345,5;2281288010;30470268110;130660221,8;71656886,09;212114055,4;607700382,1;7867848092;903852580,1;1286922977;26809066746;89323352,84;80702348,86;164132122;8885578044;2261357093;155886534,9;31551758306;31134155688;4,26349E+11;;603840269379,07;;
"Squid""""";26059194,39;1145722993;725754106,4;1174386750;842649942;2142546405;30454786,5;312270642,5;4758285757;18271767,79;6520218,79;13960886,09;39565804,98;984859835,2;54275510,52;135120143,3;3742805496;11222372,69;4049295,49;11521316,76;469825152,1;115034894;5098200,15;35741071710;36299385327;72500543411;;161311261916,47;;
"SupBenthZoopl""""";4123014307;1,63807E+11;86145707867;1,494E+11;4,11503E+11;1,34998E+12;4136785022;31277244537;5,57705E+11;1341800710;846840286,1;1243588177;3932684260;1,30416E+11;6564859520;9958955605;3,21747E+11;810597414,8;382470064,6;1280614556;63453327713;13847729187;313230954,9;3,89526E+13;3,97081E+13;8,07634E+12;;90051260702749,40;;
"Tuna""""";7750734;516662480,5;328386423,9;511041236,4;267485584,1;572621847,8;10972292,37;80058843,95;2223874277;5077708,31;2140099,9;3077131,05;9959251,16;425907438,5;17364994,53;26913915,83;1570672117;2681428,52;1006095,42;2909674,95;165619741,2;33776158,97;893618,55;3387049958;3239273439;33938798875;;47351975366,06;;
